Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,TAREG*14 cpr riv 40 mg,NOVARTIS FARMA SpA,033178260,FPA,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/33178/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,RIXIL*14 cpr riv div 40 mg,SANDOZ SpA,034776207,FPA,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34776/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,DOC GENERICI Srl,039815028,FPA,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/39815/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,SANDOZ SpA,040318014,FPA,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40318/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,ZENTIVA ITALIA Srl,040723013,FPA,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/40723/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,EG SpA,040782346,FPA,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40782/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,ALMUS Srl,041076011,FPA,2812,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2812/farmaci/41076/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,HCS BVBA,041104023,FPA,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41104/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,MYLAN SpA,041442031,FPA,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/41442/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,TOWA PHARMACEUTICAL SpA,041849023,FPA,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41849/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALPRESSION*28 cps 80 mg,A.MENARINI IND.FARM.RIUN.Srl,033119013,FPB,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/33119/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 80 mg,NOVARTIS FARMA SpA,033178892,FPB,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/33178/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 80 mg,SANDOZ SpA,034776827,FPB,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34776/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,LABORATORI ALTER Srl,039810041,FPB,2753,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2753/farmaci/39810/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,DOC GENERICI Srl,039815156,FPB,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/39815/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cps 80 mg,MYLAN SpA,040225043,FPB,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/40225/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,SANDOZ SpA,040318065,FPB,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40318/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,ZENTIVA ITALIA Srl,040723076,FPB,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/40723/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,EG SpA,040782031,FPB,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40782/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,ALMUS Srl,041076062,FPB,2812,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2812/farmaci/41076/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,HCS BVBA,041104098,FPB,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41104/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,ALSARTIR*28 cpr riv div 80 mg,EG SpA,041129115,FPB,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/41129/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,PRESSLOVAL*28 cpr riv 80 mg,SO.SE.PHARM Srl,041168067,FPB,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41168/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TOWA PHARMACEUTICAL SpA,041849098,FPB,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41849/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392023,FPB,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/42392/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALPRESSION*28 cps 160 mg,A.MENARINI IND.FARM.RIUN.Srl,033119025,FPC,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/33119/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 160 mg,NOVARTIS FARMA SpA,033178942,FPC,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/33178/stampati?ts=RCP
