Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,EG SpA,040782031,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,ALMUS Srl,041076062,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,HCS BVBA,041104098,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,ALSARTIR*28 cpr riv div 80 mg,EG SpA,041129115,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,PRESSLOVAL*28 cpr riv 80 mg,SO.SE.PHARM Srl,041168067,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TOWA PHARMACEUTICAL SpA,041849098,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392023,FPB
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALPRESSION*28 cps 160 mg,A.MENARINI IND.FARM.RIUN.Srl,033119025,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 160 mg,NOVARTIS FARMA SpA,033178942,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 160 mg,SANDOZ SpA,034776878,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,LABORATORI ALTER Srl,039810066,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,DOC GENERICI Srl,039815271,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cps 160 mg,MYLAN SpA,040225068,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,SANDOZ SpA,040318077,FPC
